gender,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32
1,-274.93472,29.345425,-19.152718,-7.83688,-9.094099,-8.553542,-32.65394,-12.341261,-5.1518073,2.6698005,-7.865372,10.570986,2.8873224,4.5171776,-8.187102,-0.45959285,-6.641785,-0.6700077,-4.505844,-1.1373965,-0.30700925,2.12643,-2.3209417,2.150005,-0.9254167,2.1160302,-0.19273016,2.417784,-4.73665,1.2377883,-1.6004255,-1.4624188
0,-311.56317,52.47815,-0.098956816,-11.070889,5.932184,-1.7398537,-15.766101,-1.0179327,-3.9858184,7.574249,-10.625892,3.1741123,-10.302366,1.4045061,-10.507941,2.6990082,-10.962914,-3.2633393,0.14042948,-0.56142706,-2.6008458,1.6114485,-6.4947777,0.545812,-6.2619863,-2.3844025,-6.7433534,0.2551046,-0.96699435,-2.113054,-2.433555,0.8811783
0,-438.29,46.58891,-22.68906,-3.6075282,-13.873103,0.27099693,-9.013165,-9.624514,-7.756683,2.6476557,-7.490925,1.0307767,-1.4781942,-3.5652537,-3.8684475,-2.4453745,-2.170353,-2.2354615,-5.3297625,0.25458097,-2.406795,-0.47978,-0.15651001,-1.6820143,2.6186366,1.2444856,-0.07402463,-0.9641302,-0.73573095,-0.42030412,0.79562116,0.41133878
1,-368.4261,46.939358,-7.4431233,-3.694383,-20.511757,-9.271688,-10.894087,-11.857489,2.5554419,-2.4030309,-17.14157,4.9617443,-8.069848,0.24498323,-3.1729152,-2.251981,-7.3583093,-0.20848992,-3.036371,-0.39033252,-3.4972663,-0.06515703,-0.15585467,3.839285,-2.5033677,2.7507432,1.7585104,2.0945868,0.29586756,1.737648,-0.6541359,1.8479757
0,-535.19446,7.1655235,-7.422007,2.2311864,-5.3004246,-0.6449813,-6.101685,-0.87472415,0.4011988,0.9128384,-5.1776257,-1.3408879,-3.8666542,-1.0822662,-2.5456307,-1.411004,-3.3380203,0.67912287,-5.7329726,2.080978,-2.0398724,0.23348813,-0.14431144,-0.41328436,-1.4526227,0.23558235,-0.97368735,0.77757007,-0.7353231,1.1416405,-0.4979883,1.1909295
0,-466.00052,47.785984,1.4098223,-5.4422436,-2.596125,0.34801307,-6.4403505,-7.033806,-4.56282,1.3726394,-4.1296754,-2.5071163,-5.5603824,-3.5532234,-2.8773067,-0.0018280948,-2.4805396,-0.9945846,-4.0032887,-1.8144202,-5.1761656,-2.7947938,-6.025078,-2.6200278,-3.8213053,-1.2023326,-1.3229064,-0.92450684,-2.526593,-2.1969993,-2.8860774,-2.0808156
0,-391.94632,20.50802,6.345723,-0.4917435,-3.3766716,1.3980755,-10.320588,4.2412357,-10.280252,-3.85589,-13.260007,-5.1725826,-11.313783,-0.5427748,-11.35911,-2.3725927,-8.860537,-2.3470733,-5.407024,-1.1621044,-3.7466657,-1.1638933,-2.162467,-0.112567276,-2.9280958,-0.24575247,-1.5864655,0.89327514,0.26170042,2.1574583,0.73615134,0.7424098
1,-494.33002,12.756029,-18.470089,5.5619044,-9.1751375,-3.7316227,-13.481187,-10.048035,1.9130287,0.5314926,-6.1578054,-1.3128786,-1.9526299,-2.2954185,-2.6828763,0.010397005,-1.9884578,1.7346557,-0.3809754,0.9516677,0.8782094,1.3431243,0.1669378,0.2879716,-0.25782534,1.2379907,-1.0711001,1.7013956,-1.8642375,-1.4062116,-0.7484226,-0.118480004
1,-444.24792,13.568722,-8.868499,-0.2773855,-6.399699,-5.111675,-10.566363,-4.576954,0.051370144,-6.3896694,-2.6921277,-6.3592854,-0.6120089,-4.5774107,-4.1175613,2.5152934,-2.1863043,0.32799387,-0.7062791,0.21138671,-0.032395363,2.6396854,-3.1656387,-0.020538658,-2.20535,1.1641625,-0.9992181,-1.027647,0.73331755,-0.80386186,1.4746387,-0.22370768
0,-758.3251,8.810078,1.247897,1.0461689,-2.8127437,1.2414724,-0.17381951,-2.6025882,-4.683652,-2.2759974,-3.392277,-0.77909327,-3.0476832,-0.70577353,-0.3540502,0.44354883,-1.465958,1.0389093,-1.8685234,0.9693657,-1.2943987,-0.032505725,-0.75802743,0.37575465,-1.0760882,0.2670348,-0.71835715,0.70532,-0.6137615,0.34988603,-0.16324462,0.35784993
1,-370.27448,23.50852,-18.901087,5.081095,-8.435249,7.176068,-9.968931,-1.1268926,-7.6324353,-5.6042385,-5.646582,0.87900406,-8.757605,5.668953,-8.57134,-1.2822119,-4.935118,-4.5911913,-3.8898706,0.7327725,1.7443485,3.3610222,-0.35319352,2.0094054,-0.7432196,-3.1857007,-3.017481,3.2206311,-3.6246386,1.182163,-2.3207035,-0.61871845
0,-673.0308,110.773766,1.199132,18.966675,2.3193533,25.940443,2.6441026,15.105916,-3.8487005,6.5077653,-11.623919,0.48253754,-12.057949,-1.5046937,-11.802348,-0.025637621,-8.230761,-0.5590447,-6.1622033,1.9417626,-5.7731805,1.3613445,-4.6956053,1.2932391,-3.5098128,0.39952707,-3.7684538,0.96632534,-3.2702258,0.20164165,-2.6325479,-0.0077638505
1,-571.94403,78.36501,32.9608,17.849323,3.711945,-5.7865906,-9.082894,-4.813828,-9.227872,-2.2978344,-4.7000394,-1.7699214,-5.889714,-10.386646,-11.463648,-5.4738374,-9.482501,-5.7335052,-0.11504007,0.012438375,1.9998173,1.6895547,0.4064922,-0.9802831,-2.1087642,-0.89796656,-3.8393245,-2.3512259,-5.9121656,-5.453045,-8.385138,-5.6095333
0,-494.75214,5.511152,-2.2643874,0.24193816,-0.5290439,2.2779028,-4.5613427,-1.7666118,-3.7221098,-0.6953015,-3.3992555,-0.78376275,-2.635386,0.4456879,-1.6915008,0.55472904,-0.17550905,0.34255594,-0.27452,0.037962653,-0.40824732,-0.010072795,-0.1288543,-0.13594803,0.1881492,-0.14557168,-0.16247256,0.22838162,0.26477572,0.782568,0.09400702,0.01676452
0,-412.31042,44.211426,-8.100845,10.634683,-6.7481275,0.54963887,-7.1182227,-3.5519235,-13.229318,-11.068984,-14.085507,-8.831368,-10.550132,-7.1414847,-11.817923,-7.0114994,-8.6771555,0.3125,-5.328495,1.8601434,-5.740472,0.36547908,1.0382259,1.6336414,0.757909,1.7375054,0.17623614,1.9521612,0.060752396,-0.8588229,-1.5947311,0.43203798
1,-232.60512,37.987087,-14.780663,-7.962826,-19.770689,9.355403,-25.734253,-3.8278928,-19.707684,4.2136846,-13.504072,-0.56743985,-13.244815,4.095994,-2.5383728,-0.8006392,-6.1258607,3.0556977,-6.8043222,1.769459,-5.140376,1.4686512,-5.2987275,1.1000435,-4.498275,3.3566303,-4.798197,2.0468755,-1.6813108,0.49388477,1.2321562,-0.24142855
0,-675.49066,7.677428,2.953763,1.5247424,-3.3326812,-0.66446567,-2.898134,2.5688436,-1.9690421,-2.405416,-4.3881884,0.4104169,-4.60777,-2.2800236,-3.2253351,-0.32802045,-2.2695887,-0.053123426,-1.8522527,-0.41155604,-1.2727625,0.4093935,-0.5778053,0.95196337,-0.4332531,1.0005579,-0.20869188,-0.0017311821,-0.3258521,-0.052026086,-0.2626243,-0.2198266
1,-447.6102,41.929443,9.55188,8.450911,0.6492998,-8.512,-14.224264,-9.707443,-13.1443205,-8.49102,-12.130589,-9.813132,-8.334715,-4.6093817,-5.641126,-4.147516,-0.7852128,2.1750963,-4.154541,1.4011258,3.2939775,3.138964,0.9565833,3.6705868,0.7133714,1.6033992,1.2939671,0.3370078,-1.867271,-1.5031742,-3.108926,-3.624252
0,-482.17462,47.03741,-20.767225,-1.3269029,-7.507994,-3.6376,1.2869196,-2.141697,-1.3265339,1.733071,-1.2566781,-0.13170105,-2.2933052,-2.462295,-4.819031,-4.517213,-4.9718895,-1.8222027,-3.5683649,-1.2679064,-3.4784868,-1.700431,-2.3907545,-1.5348028,-3.394579,-1.045116,-1.9910647,-0.7359938,-1.6411004,-2.0889802,-2.780891,-1.0535004
0,-541.8041,9.3415,-6.7754827,2.5720706,-0.7169027,-2.6819885,-8.317655,-0.6793222,-4.29832,-0.7279858,-4.4329944,0.6179462,-2.9256423,-1.5711068,-2.0421379,-1.2729229,-2.973982,1.2942679,-2.4723868,0.76062864,-1.370496,0.9541099,-1.3439715,-0.83072567,-0.336781,0.04217331,-1.2272054,0.4320322,-1.2067317,0.21036676,-1.6485164,0.90748256
0,-413.45425,22.474977,-13.329689,-3.7168868,-8.036795,0.1496144,-8.588795,-7.0495386,-0.3852904,0.60345584,-12.754355,0.31471974,-3.453207,0.7460552,-6.3253775,-9.893123,-5.3857913,-1.2976264,-5.3505144,2.1867704,-7.2885437,0.4057211,-0.8895927,5.293159,-3.9204464,2.2618697,-2.902331,1.7690284,0.21992896,1.2217816,-3.4243762,0.20661272
1,-538.46344,102.336395,-4.1920934,10.133972,0.071134716,9.191488,-0.74634165,5.244359,-0.11536075,0.944308,-7.8975635,-1.8207511,-5.00222,2.3424895,-3.2692785,1.7003311,-3.3857372,-1.4829848,-7.81218,-6.4081364,-6.2859144,2.259805,0.8169249,0.91287214,-7.0178475,-4.395417,-4.1401424,0.01724742,-2.1874237,-1.2843457,-2.8683698,-2.4869783
1,-715.96655,29.669401,-1.9458102,1.9937712,-0.24230354,2.5275323,-6.797569,-2.3286915,-3.716422,-0.49432382,-5.6949124,0.1027483,-4.2656703,-1.6294152,-4.1083994,-0.7708227,-3.7113304,-0.67251277,-2.7672188,0.606738,-2.109624,-0.21876188,-1.1584535,-1.7612643,-1.8515553,-1.1512586,-0.7299471,0.30369532,-1.461285,-0.4531697,-1.610665,-0.5805762
0,-412.54196,24.59833,-20.36587,7.99699,-12.345894,-9.832887,-8.947286,-6.599434,-11.122715,2.9199631,-8.591844,1.8040512,-3.7828455,-2.075426,-4.231585,-2.8621452,-7.565571,-2.4376543,-4.9139986,1.4788334,-6.087127,0.08962117,-0.4045889,0.8432356,-0.49254465,3.803792,-1.2943745,2.4107473,-1.5447297,1.506766,-1.7981884,2.1979215
1,-383.31952,17.743616,-1.9826744,-1.7629744,-2.268266,-9.512566,-16.227676,-3.2726047,-5.130732,-7.0995536,-19.260838,-0.9098358,-5.315631,-0.9268184,-8.803797,1.4436305,-8.344759,0.92794245,-2.5233927,-2.583598,-2.2912135,3.6417103,-7.3330626,3.354283,-2.2852244,1.848151,-0.80044013,3.798964,-3.8533661,3.2176278,-2.6489017,2.8780618
